traceID;spanID;operationName;timestamp;duration_us;http.method;url.path;http.status_code;http.request.body.size;http.response.body.size;client.address;user_agent.original;server.port;network.protocol.version;url.scheme
0bfbf089b258f585bec572bd8bbe4dc8;36f3014fc877de7f;proxy-request;1770832536492483;101321;;/login;200;;43613;172.19.0.1;Mozilla/5.0 (Normal User);8080;1.1;http
d2859985554bbb88a4215dffeee36b9b;08a6a4b89122148c;proxy-request;1770832536539718;39903;;/projects;302;;;172.19.0.1;Mozilla/5.0 (Normal User);8080;1.1;http
f9ac2674ec3cfe4c5c11a4c0d75e0dfa;56c6feb3f3e6d51e;proxy-request;1770832536581530;169430;;/login;200;;43637;172.19.0.1;Mozilla/5.0 (Normal User);8080;1.1;http
e4ffd8c889a3f731d3bb7be4dea42288;bba0795b305b61c4;proxy-request;1770832537256211;25484;;/search;302;;;172.19.0.1;Mozilla/5.0 (Normal User);8080;1.1;http
e99f4bad55be86d42cf68a8f4a00c103;11971a8fe1539d9b;proxy-request;1770832537283264;111701;;/login;200;;43631;172.19.0.1;Mozilla/5.0 (Normal User);8080;1.1;http
d72b9c041fc4f60713992a8c7956f92e;4a21281875e7c050;proxy-request;1770832537608494;98010;;/login;200;;43570;172.19.0.1;Mozilla/5.0 (Normal User);8080;1.1;http
73a803ad84aabde3858ef1eb9d7ef9dc;da2156309b745cb6;proxy-request;1770832539470036;15381;;/;302;;;172.19.0.1;Mozilla/5.0 (Normal User);8080;1.1;http
4703504ec53b3f63bd0cdc1c1f8021f4;de008cc15bf4675c;proxy-request;1770832539486821;61645;;/login;200;;43613;172.19.0.1;Mozilla/5.0 (Normal User);8080;1.1;http
2c8256ded8e2c803591adf2ef8f68446;1e06ecc71f8f2877;proxy-request;1770832539995297;15035;;/search;302;;;172.19.0.1;Mozilla/5.0 (Normal User);8080;1.1;http
f63de0c4c5d66b4e4c5bbc2780473b59;0dcaef36530e768d;proxy-request;1770832540008337;21699;;/projects;302;;;172.19.0.1;Mozilla/5.0 (Normal User);8080;1.1;http
